"","ServiceCode","ServiceURL","FullSiteCode","FullVariableCode","BeginDateTime","EndDateTime","SiteName","Latitude","Longitude","DataType","ValueType","SampleMedium","TimeUnits","TimeSupport"
"463","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:513","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"VD Mostište",49.3946495056152,16.0149078369141,"Average","Field Observation","Water","hour",1
"464","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:514","CHMI-H:PRUTOK",2006-08-09,2015-01-03,"Brno - Porící",49.1863899230957,16.5938892364502,"Average","Field Observation","Water","hour",1
"465","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:515","CHMI-H:PRUTOK",2006-08-10,2015-01-03,"VD Vír",49.5427780151367,16.3391666412354,"Average","Field Observation","Water","hour",1
"466","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:516","CHMI-H:PRUTOK",2006-08-05,2015-08-10,"Borovnice",49.6710090637207,16.2016220092773,"Average","Field Observation","Water","hour",1
"467","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:517","CHMI-H:PRUTOK",2006-08-05,2015-08-10,"Jimramov",49.6366157531738,16.2166481018066,"Average","Field Observation","Water","hour",1
"468","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:586","CHMI-H:PRUTOK",2007-06-22,2015-08-10,"Unicov",49.7713890075684,17.1316661834717,"Average","Field Observation","Water","hour",1
"469","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:587","CHMI-H:PRUTOK",2007-06-22,2014-11-24,"Mikulovice",50.2908325195312,17.2958335876465,"Average","Field Observation","Water","hour",1
"470","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:588","CHMI-H:PRUTOK",2007-06-22,2014-11-26,"Osoblaha",50.283332824707,17.716667175293,"Average","Field Observation","Water","hour",1
"471","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:589","CHMI-H:PRUTOK",2007-06-17,2015-08-02,"Ratibor",50.1068801879883,13.1014680862427,"Average","Field Observation","Water","hour",1
"472","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:590","CHMI-H:PRUTOK",2007-06-17,2015-08-10,"Obora",49.8166122436523,12.5553722381592,"Average","Field Observation","Water","hour",1
"473","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:591","CHMI-H:PRUTOK",2007-06-17,2015-08-10,"Hamry",49.240966796875,13.1548128128052,"Average","Field Observation","Water","hour",1
"474","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:592","CHMI-H:PRUTOK",2007-06-17,2015-08-10,"Hamry",49.2382392883301,13.1574144363403,"Average","Field Observation","Water","hour",1
"475","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:594","CHMI-H:PRUTOK",2007-07-09,2015-08-10,"Blažejovice",49.6129989624023,15.205286026001,"Average","Field Observation","Water","hour",1
"476","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:595","CHMI-H:PRUTOK",2007-06-17,2014-12-28,"Chocnejovice",50.575553894043,14.9650001525879,"Average","Field Observation","Water","hour",1
