"","SiteName","SiteCode","FullSiteCode","Latitude","Longitude","ServCode","ServURL"
"137","Milevsko","1124","CHMI-D:1124",49.4500007629395,14.3699998855591,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"138","Halámky","1125","CHMI-D:1125",48.8527793884277,14.9161100387573,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"139","Nová Pec","1126","CHMI-D:1126",48.8133316040039,13.8999996185303,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"140","Bezdekov pod Tremšínem","1127","CHMI-D:1127",49.5800018310547,13.8800001144409,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"141","Míšov","1128","CHMI-D:1128",49.6213874816895,13.725830078125,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"142","Plzen - Radcice","1129","CHMI-D:1129",49.7644386291504,13.3255596160889,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"143","Raškov","113","CHMI-D:113",50.0411109924316,16.9127769470215,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"144","Ješetice","1130","CHMI-D:1130",49.5808296203613,14.6108303070068,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"145","Praha - Velká Chuchle","1131","CHMI-D:1131",50.0020790100098,14.3729381561279,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"146","Praha - Prosek","1132","CHMI-D:1132",50.1191902160645,14.491792678833,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"147","Praha - Bohdalec","1133","CHMI-D:1133",50.0603294372559,14.4687004089355,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"148","Praha - Strahov","1134","CHMI-D:1134",50.0799789428711,14.3929901123047,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"149","Deštnice","1135","CHMI-D:1135",50.2299995422363,13.6099996566772,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"150","Pikov","1136","CHMI-D:1136",49.4897193908691,14.5933303833008,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"151","Tábor meteo","1137","CHMI-D:1137",49.4113883972168,14.6497201919556,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"152","Frymburk","1138","CHMI-D:1138",48.6614418029785,14.1639833450317,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"153","Ceský Krumlov meteo","1139","CHMI-D:1139",48.8180618286133,14.3197202682495,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"154","Jablonec nad Jizerou","114","CHMI-D:114",50.6949996948242,15.4394445419312,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"155","Veselí nad Lužnicí","1140","CHMI-D:1140",49.1800003051758,14.6999998092651,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
